pitch_id,outlet,editor_name,subject_line,sent_date,follow_up_date,response,response_date,outcome,final_url,notes
P1,CoinDesk,TBD-APAC-policy,"Japan just rewired token launches. Western founders are still pitching the old playbook.",,,,,no_reply,,Draft ready in op-ed-pitches-2026-06-05.md
P2,Cointelegraph,TBD,"Why most Web3 founders should fire their PR agency before TGE",,,,,no_reply,,Draft ready in op-ed-pitches-2026-06-05.md
P3,Decrypt,TBD-AI-consumer,"The AI-startup PR playbook is now the Web3 playbook. Here is what changed.",,,,,no_reply,,Draft ready in op-ed-pitches-2026-06-05.md
P4,Blockworks,TBD-Research,"Singapore's Project Guardian is the institutional press cycle most Western founders are missing",,,,,no_reply,,Draft ready in op-ed-pitches-2026-06-05.md
P5,Forbes Council,Member-track,"Cybersecurity vendors are getting outflanked in AI Overviews. Here is the fix.",,,,,no_reply,,Draft ready in op-ed-pitches-2026-06-05.md
B2-01,The Block,TBD-institutional-policy,"The institutional press tier is now a regulatory-frame test",,,,,no_reply,,Draft ready in op-ed-pitches-2026-06-06.md
B2-02,The Defiant,TBD-DeFi-protocol,"KOL waves are now a regulatory product, not a marketing line",,,,,no_reply,,Draft ready in op-ed-pitches-2026-06-06.md
B2-03,Bloomberg Crypto,TBD-institutional-flow,"APAC institutional flow is decided in three press windows",,,,,no_reply,,Draft ready in op-ed-pitches-2026-06-06.md
B2-04,Forbes Crypto Council,Member-track,"The fractional PR move replacing pre-Series B agency retainers",,,,,no_reply,,Draft ready in op-ed-pitches-2026-06-06.md
B2-05,AI Magazine,TBD-AI-CMO,"AI founders are under-invested in AI-Overviews citation share",,,,,no_reply,,Draft ready in op-ed-pitches-2026-06-06.md
